STARBUCKSCOFFEE cafeteria 7 11
RestaurantUNIVERSALCLUB cafeteria 18 16
PHONONCAFEROOM cafeteria 7 12
Craig'sCafeSEATTLEESPRESS cafeteria 18 11
CafeteriaNANAMI-TEI cafeteria 11 7
IBCafe cafeteria 11 9
RestaurantChezJiroud cafeteria 15 10
LaboShop(NUCO-OPShop) shop 29 19
NUCO-OPNorth shop 11 5
FamilyMart shop 13 11
SouthCafeteria cafeteria 4 17
NUCO-OPSouth shop 5 17
AmenityHouse shop 6 17
FORESTBooks&Cafe cafeteria 19 7
GreenSalonHigashiyama cafeteria 21 8
ToyodaAuditorium/Symposion Conventionfacility 17 15
NoyoriConferenceHall Conventionfacility 21 14
E&SHall Conventionfacility 16 9
Sakata&HirataHall Conventionfacility 19 11
